experiment_id, label                        , epsilon_start, epsilon_end, epsilon_decay, lr    , gamma, batch_size, policy   , mean_reward_last50, training_time_s, total_episodes, observations
            1, Baseline Epsilon             ,           1.0,       0.05 ,        100000, 0.0001,  0.99,         32, CnnPolicy,              10.0 ,          1052.5,           2026, Baseline epsilon schedule; steady improvement — good reference point.
            2, High Eps End                 ,           1.0,       0.1  ,        100000, 0.0001,  0.99,         32, CnnPolicy,              10.86,          1033.3,           2089, "High eps_end (0.1): stays more exploratory late; noisier policy, lower reward."
            3, Low Eps End                  ,           1.0,       0.01 ,        100000, 0.0001,  0.99,         32, CnnPolicy,              15.96,          1031.0,           1920, Low eps_end (0.01): exploits more at end; cleaner late-game policy.
            4, Short Decay                  ,           1.0,       0.05 ,         50000, 0.0001,  0.99,         32, CnnPolicy,              15.12,          1026.4,           1647, Short decay (50k): switches to exploitation early; gains speed but misses exploration.
            5, Long Decay                   ,           1.0,       0.05 ,        140000, 0.0001,  0.99,         32, CnnPolicy,              13.32,           966.2,           2287, Long decay (140k): explores almost the whole run; slower but broader search.
            6, Low Eps Start                ,           0.5,       0.05 ,        100000, 0.0001,  0.99,         32, CnnPolicy,              14.2 ,           917.8,           1701, Low eps_start (0.5): half as much early exploration; slightly under-explores.
            7, Very Low Eps End + Long Decay,           1.0,       0.005,        130000, 0.0001,  0.99,         32, CnnPolicy,              12.66,          1009.9,           2190, Very low eps_end + long decay: maximises exploitation late; best greedy performance.
            8, Fast Decay + Low Eps End     ,           1.0,       0.01 ,         50000, 0.0001,  0.99,         32, CnnPolicy,              10.7 ,           974.6,           1745, Fast decay + low eps_end: aggressive exploitation switch; moderate reward.
            9, Very Short Decay             ,           1.0,       0.05 ,         30000, 0.0001,  0.99,         32, CnnPolicy,              13.62,           951.5,           1566, Very short decay (30k): exploits way too early; agent locked into suboptimal policy.
           10, Near-Greedy From Start       ,           0.1,       0.01 ,        100000, 0.0001,  0.99,         32, CnnPolicy,              11.18,           956.8,           1692, Near-greedy from start (eps_s=0.1): minimal exploration; lowest reward due to poor Q init.
